Protocol,Algorithm,Length,Comparisons,Time_ns
Random,MergeSort,100,610,282100
Random,MergeSort,200,1495,320800
Random,MergeSort,300,2499,454500
Random,MergeSort,400,3613,681400
Random,MergeSort,500,4825,738300
Random,MergeSort,600,6111,945000
Random,MergeSort,700,7442,1172500
Random,MergeSort,800,8786,1317100
Random,MergeSort,900,10210,1542900
Random,MergeSort,1000,11588,1618900
Random,MergeSort,1100,13078,1884400
Random,MergeSort,1200,14502,2289100
Random,MergeSort,1300,16042,3045600
Random,MergeSort,1400,17639,2393600
Random,MergeSort,1500,19184,2695600
Random,MergeSort,1600,20770,2786000
Random,MergeSort,1700,22307,3030500
Random,MergeSort,1800,24000,3248900
Random,MergeSort,1900,25677,3649900
Random,MergeSort,2000,27250,3658100
Random,MergeSort,2100,29050,4008000
Random,MergeSort,2200,30532,4126900
Random,MergeSort,2300,32280,4190800
Random,MergeSort,2400,34017,6725600
Random,MergeSort,2500,35843,4808700
Random,MergeSort,2600,37597,5123100
Random,MergeSort,2700,39356,8762700
Random,MergeSort,2800,41097,5823800
Random,MergeSort,2900,42762,5873100
Random,MergeSort,3000,44788,10697500
Random,MergeSort,100,599,107800
Random,MergeSort,200,1489,368700
Random,MergeSort,300,2530,433100
Random,MergeSort,400,3646,725700
Random,MergeSort,500,4872,785300
Random,MergeSort,600,6094,936500
Random,MergeSort,700,7458,1161200
Random,MergeSort,800,8761,1640600
Random,MergeSort,900,10169,1449100
Random,MergeSort,1000,11571,2055100
Random,MergeSort,1100,13052,2391300
Random,MergeSort,1200,14547,2498300
Random,MergeSort,1300,16061,3181400
Random,MergeSort,1400,17654,3572600
Random,MergeSort,1500,19161,2512500
Random,MergeSort,1600,20769,2650100
Random,MergeSort,1700,22403,2834900
Random,MergeSort,1800,23953,3311400
Random,MergeSort,1900,25613,3232100
Random,MergeSort,2000,27225,4075700
Random,MergeSort,2100,28979,6722000
Random,MergeSort,2200,30569,3996000
Random,MergeSort,2300,32338,8555700
Random,MergeSort,2400,34139,4290100
Random,MergeSort,2500,35784,4561100
Random,MergeSort,2600,37547,4779700
Random,MergeSort,2700,39249,5159200
Random,MergeSort,2800,40965,13928500
Random,MergeSort,2900,42872,5922800
Random,MergeSort,3000,44651,13081700
Random,MergeSort,100,609,133800
